slug,colorCode,type,number,name,ciConstitutionNumber,alternateNames,composition,description,transparencyRatingCode,lightfastRatingCode,toxicity,notes
egyptian-mummy,Br,ETC,,Egyptian Mummy,,"Caput Mortuum;
 Egyptian Mummy;
 Mummy","The ground up bodies of mummies, containing asphaltum and embalming resins*",Dark Dull violet Brown,T,III,A,* I'm skeptical as to whether this color was really mummies or just rumors. Usually imitated with asphaltum or earth brown pigments.
goethite-77491-77492-77499,Br,ETC,,Goethite,"77491
 77492 
 77499","Brown Ochre Goethite [DV.o];
 Dark Goethite [DV.o];
 Goethite**;
 Goethite - Brown Ochre [DS.w];
 Goethite Genuine [DV.o];
 Iron Oxide Brown;
 Iron Oxide Hydroxide;
 Pigment Brown 6;
 Pigment Black 11;
 Pigment Yellow 43;
 Van Dyke Brown [MGd]","Inorganic; Natural and/or synthetic Feric oxide and Ferroso-ferric hydroxide;
 CAS 52357-70-7",Brown to dull red to black*,S/O,I,A,"* Oil paints and watercolors using PBr6 and PBr 7 exist in almost any shade of yellow, orange, red and violet brown to green brown to black.
 ** {Ref at Mindat.org}"
hematite,Br,ETC,,Hematite,,"Bloodstone;
 Blue Ridge Violet Hematite [NP.p];
 Burnt Hematite [DV.o];
 Hematite [DS.o | NP.o.p];
 Hematite Burnt Scarlet [DV.o];
 Hematite Burnt Scarlet Genuine*[DS.o.w];
 Hematite Genuine*[DS.w | DV.o];
 HematiteViolet [DV.o];
 Hematite Violet Genuine*[DS.w];
 Iron Rose;
 Pigment Brown 7;
 Violet Hematite [NP.o.p] compare with PBr7","Natural Brown Iron Oxide (Mineral Reference at mindat.org), (Ref wikipedia);",dark reddish to blackish brown,S/T,I,A,* more info on the Dan Smith PrimaTek™ artist paints and other minerals used for art pigments at the watercolor Handprint.com site
manganous-chromate-77735,Br,ETC,,Manganous Chromate,77735,"Basic Manganous Chromate;
 Manganese Chromate;
 Manganous Chromate","Manganese Chromate, Basic Manganous Chromate. Black or red-brown powder of variable composition (Reference: Tables of Properties of Over Fifteen Hundred Common Inorganic Substances, By Wilhelm Segerblom, 1909)",Black to reddish brown,X,X,,
sicklerite,Br,ETC,,Sicklerite,,"Manganese Sicklerite;
 Sicklerite [DS.w];
 Triphylite","Lithium Manganese Iron Phosphate; Phosphate formed as a result of the alteration of other phosphate minerals in granite pegmatites (Ref);
 Mineral: (Ref), (Ref), (Ref)",Dark brown,T,I,A,The Daniel Smith watercolor paint appears to be the only way this mineral was ever used as a pigment. May act as a drier in oil paint due to it's high Manganese content.
siderite,Br,ETC,,Siderite,,"Aerosiderite;
 Bemmelenite;
 Chalybite;
 Eisenpath;
 Fer Carbonaté;
 Gyrite;
 Iron Spar;
 Junckérite;
 Pelosiderite;
 Siderite [NP.p]; 
 Sparry Iron;
 Spatformig Jernmalm;
 Spathic Iron;
 Spathos eIron;
 Thomaîte",Natural Iron Carbonate,Light yellowish brown to gray to greenish brown to reddish brown,O,I,A,
tigers-eye,Br,ETC,,Tigers Eye,,"African Cat's-eye;
 Australian Tiger's Eye;
 Burnt Tiger Eye;
 Burnt Tigers Eye Genuine* [DS.o.w];
 Cat's-eye;
 Crocidolite;
 Golden Tigers Eye;
 Marra mamba tiger iron; 
 Tigereye;
 Tiger Eye;
 Tigers Eye;
 Tigers Eye Genuine* [DS.o.w];
 Tiger-Eye TYOUJICHA, No. 12 [KP.p.p];
 Tiger iron","Quartz silicon with yellowish and brown parallel layers, a mixture of Chalcedony and Riebeckite (Ref). The yellow-gold color is due to iron oxides.",Brown with yellowish to red- violet undertone,T,I,A,* more info on the Dan Smith PrimaTek™ artist paints and other minerals used for art pigments at the watercolor site Handprint.com.
acetylene-black,Bk,ETC,,Acetylene Black,,"Acetylene Black;
 Carbon Black;
 DENKA BXACK;
 Nero di Acetilene;
 Shawinigan Acetylene Black;
 Thermal black;","*Acetylene black-A particularly pure form of carbon black pigment, made by the controlled decomposition of Acetylene. Characterized by the highest degree of aggregation and
 crystalline orientation when compared with all other carbon blacks (Ref);
 (Ref Boston Fine Arts)
  
 CAS 1333-86-4",Black,X,I,A,
antimony-black,Bk,ETC,,Antimony Black,,"Antimony Black;
 Antimony Orange; 
 Antimony Red; 
 Antimony Vermilion;
 Antimony Sulfide;
 Hermus Mineral;
 Kohl;
 Stibium;
 Stibnite;
  
 See Pigment Red 107","The black natural form of Antimony Trisulfide, powdered Stibnite. (Ref: at Boston Fine Arts CAMEO Materials Database);",Black,X,X,D,Acrylic
black-20,Bk,ETC,,Black 2.0,,Black 2.0 [CH*.a.p],"Super black micronized pigment in a proprietary acrylic matte base
 Micronized carbon?",Deep matte black,O,I,A,"Black 2.0 @ Amazon
 Black 1.0 (powdered pigment) @ Amazon
 Black 2.0 is a special paint preparation of a super black micronized pigment in a special acrylic flat matte base. It was created by Stuart Semple in close collaboration with other artists and color chemists.
 I usually don't include mixtures or special formulations in the Pigment Database, but I though this paint is interesting.
 How to use BLACK 2.0 on the Stuart Semple Youtube channel [YouTube Video] 
  Technical Data Sheet [PDF]
 Black 1.0, a super black micronized pigment, is still available at the Culturehustle.com UK & Amazon US websites, but it appears they have stopped manufacturing it and have a limited supply (as of 05/30/2018).
 Black 2.0 vs Vantablack article at Artnet News (news.artnet.com)
 *CultureHustle"
black-earth-77268,Bk,ETC,,Black Earth,77268,"Ampelitis;
 Black Chalk;
 Black Earth;
 Black Ochre;
 Black Oxide; 
 Black Iron Oxide;
 Earth black;
 German Vine Black [NP.p];
 Jacobsite;
 Magnetite;
 Manganese Black;
 Manganese Grey;
 Mineral Black;
 Mineral Brown Black (Pyrolusite) [NP.p];
 Native Black;
 Natural Black Earth [SI.p];
 Natural Black Oxide [NP.p.o.w];
 Oxid Schwarzes;
 Oxyde Noir;
 Prussian Black;
 Pyrolusite; 
 Roman Black [NP.p];
 Shungite [NP.p];
 Vine Black; 
 Vine Earth;
 Wad","""impure carbon of organic and mineral origin"" (Colour Index 1971)
 Natural dark earth pigment of varying composition. There are varieties composed of Iron Oxide and Magnetite (lodestone), Earths with high carbon content like Shungite or Graphite and minerals like iron manganese oxide known as Jacobsite and Pyrolusite, or other manganese rich soils similar to Wad; Bitumen and Cassel Earth may also have been referred to as 'black earth'. (Ref Roman Earth Natural Pigments); (Ref Pigment Compendium, A Dictionary and Optical Microscopy of Historical Pigments; 2008 by N. Eastaugh, V. Walsh, T. Chaplin, R. Siddall, Published by Elsevier Ltd.; p.57); (Ref 'Natural Black Oxide' Natural Pigments).","Blackish brown to blue gray*
 Non-staining to staining w/ weak to moderate tinting strength*",S/T,I,A,"* varies by composition.
 ?* Not rated by the ASTM, generally Earth minerals are of excellent light fastness, but since virtually any blackish, or dark brown earth, clay or mineral could be called ""Black Earth"", I would make your own tests before using for permanent artwork.."
black-hematite,Bk,ETC,,Black Hematite,,"Black Hematite;
 Black Iron Ore;
 Bloodstone;
 Bloodstone Genuine [DS.o.w*];
 Iron Black;
 Hematite [DS.o*];
 Psilomelane",Natural Black Iron Oxide (Ref),Violet Red or Silvery Black,X,I,A,"* Not rated by the ASTM, Black Iron Oxides, and Iron Oxide pigments generally always have excellent lightfastnessd.
 more info on the Dan Smith PrimaTek™ artist paints and other minerals used for art pigments at the Handprint.com watercolor site."
black-tourmaline,Bk,ETC,,Black Tourmaline,,"Black Tourmaline Genuine [DS.w*];
 Black Tourmaline;
 Genuine Black Tourmaline;
 Schorl; 
 Tourmaline","Semi-precious stone composed of a complex crystalline silicate comprised of aluminum, boron, iron and magnesium along with other elements; (Ref), (Ref), (Ref)",Blueish to Greenish black,T,I,A,* more info on the Dan Smith PrimaTek™ artist paints and other minerals used for art pigments at the watercolor Handprint.com site.
cobaltic-oxide-77323,Bk,ETC,,Cobaltic Oxide,77323,"Cobalt Black;
 Cobaltic Oxide;
 Cobaltic Oxide Black;",Cobaltic Oxide,,X,X,,
cuprous-sulfide-77449,Bk,ETC,,Cuprous Sulfide,77449,Cuprous Sulfide,Cuprous Sulfide,,X,X,,
hartshorn-black,Bk,ETC,,Hartshorn Black,,Hartshorn Black,Horn of Hartshorn (male red deer) calcined without exposure to oxygen,Black,S/O,I,A,* Similar to Bone Black or Ivory Black
ivory-black,Bk,ETC,,Ivory Black,,Ivory Black,"Calcined elephant tusks (ivory);
 Ivory Black (Ref at Boston Fine Arts CAMEO);","Bluish Black, yellow undertone",S/O,I,A,"* Not rated by the ASTM, illegal in almost all countries. Substituted with bone black in modern paints"
lead-sulphide,Bk,ETC,,Lead Sulphide,,"Galena;
 Lead Sulphide",Lead Sulphide,Black-grey,O,X,C,Often a unwanted reaction of lead white with sulfides
micaceous-iron-oxide,Bk,ETC,,Micaceous Iron Oxide,,"Micaceous hematite;
 Micaceous iron oxide [EN.wax | GO.a.af | TA.a.af ];
 MIO;
  Natural lamellar hematite;
 Natural specular hematite ore;
 Specular iron oxide;","A naturally occurring lamellar form of ferrous oxide (Ref: Micaceous Iron Oxide from reade.com);
  
 Crystalline Fe203",Metallic grey,S/O,I,A,"Used as a metallic grey color in artist paints.
 Used as a barrier paint coating to inhibit rust and weather corrosion for more than 100 years (Ref: Micaceous Iron Oxide from reade.com);"
magnetite-77491-77492-77499,Bk,ETC,,Magnetite,"77491
 77492 
 77499","Brown Oxide [KA]; 
 Brown Oxide Medium [GU];
 Brown Ochre Goethite [DV.o];
 Dark Goethite [DV.o];
 Ferric oxide;
 Goethite**;
 Goethite Genuine [DV.o];
 Iron Oxide Brown;
 Iron Oxide Hydroxide;
 Iron Oxide Hydroxide Brown;
 Lodestone;
 Magnetite;
 Magnetite Genuine [DV.o**];
 Magnetic Iron Ore;
 Pigment Black 11;
 Pigment Brown 6;
 Rhombehedral Magnetite;","Inorganic; Natural Ferric oxide and Ferro so-ferric hydroxide;
  
 Magnetite is the natural form of PB11 (mindat.com Ref); (Webmineral.com Ref)
  
 CAS 1309-38-2;
 CAS 52357-70-7;
 CAS 12227-89-3",Very dark brown to grey or black with a metallic sheen,X,I,A,"The Preparation of Magnetite, goethite, hematite and maghemite of pigment quality from mill scale iron waste PDF.
 * Not Rated by the ASTM, Natural Ferric oxide and Ferro so-ferric hydroxide are completely lightfast."
pyrolusite,Bk,ETC,,Pyrolusite,,"Manganese Oxide;
 Mineral Brown Black [p]","Manganese Oxide with other manganese salts and impurities (Ref), (Ref);",Reddish Brown To bluish black to steel gray,X,I,B,Speeds drying in oil paint (Ref)
vantablack,Bk,ETC,,Vantablack,,"Super Black
 Vantablack
 Vanta Black
 Vantablack S-VIS","From Wikipedia:
 Vertically aligned carbon nanotube arrays or VANTAs are a unique microstructure consisting of carbon nanotubes oriented along their longitudinal axes normal to a substrate surface. These VANTAs effectively preserve and often accentuate the unique anisotropic properties of individual carbon nanotubes and possess a morphology that may be precisely controlled. VANTAs are consequently widely useful in a range of current and potential device applications.[1]",Deep black,O,I,A,"Claimed to be World’s darkest manmade substance. It absorbs 99.965% of light, with a Total hemispherical reflectance of only 0.036% at 700nm. 
 Use for art purposes exclusive to Kapoor Studios in the UK, no one else is allowed to use it. This exclusive licence limits the coating’s use in the field of art to only one artist.
 [Popular Science Article] 
 Wikipedia.com VantaBlack
 A non-nanotube Vantablack Bx1(0.35% total reflectance) & Vantablack VBx2 (1% total reflectance) are available, but are only supplied to specialist paint contractors who have been through an SNS training program [Vantablack VBx super-black coatings]"
bone-white,W,ETC,,Bone White,,"Bone Ash [KP.p];
 Bone White
 
 see Hartshorn",Bone calcined in the presence of oxygen until all organic matter has been burned away. Mostly tribasic phosphate with traces of calcium carbonate and other salts.,off white,X,X,A,Used to prepare paper for silver point
ceramic-white,W,ETC,,Ceramic White,,"Ceramic White [HO.o.wo];
 Strontium Titanate;
 Strontium Titanate Nano Powder;
 Tausonite*",Strontium Titanate; Titanic Acid Strontium,Bright pure white,S/O,I,A,"Modern pigment 
 *Tausonite is a rare natural form found in siberia (Ref). 
 **Not quite as opaque as Titanium White but more opaque than Zinc White"
diamond-powder,W,ETC,,Diamond Powder,,Diamond Powder [KP.p],Powdered Diamonds,Translucent white,S/T,I,A,* depends on binder medium.
egg-shell,W,ETC,,Egg Shell,,"Eggshell White [KP.p];
 Calx de tistis ovorum;
 Shell White","Powdered egg shells; mostly calcium carbonate; Brown eggs contain Ooporphyrin with a small amount of biliverdin with 2-3% eggshell pigment; (Ref)
 Recipe from Secrets of Alessio Piemontese, 1557:
 ""Take fresh well washed eggshells, which are the pureset white, and grind them with the cleanest water on a marble slab until they are perfectly ground. Then put these crushed eggshells and water into a clean bowl, and let the powder settle to the bottom and then drain away the water carefully and allow the powder to dry naturally and you will have an incomparable white which cannot be surpassed by lead white or any other white in the world, if it is made carefully and well.."" - (*Secreti di Don Alessio Piemontese [Secrets of Alessio Piemontese], 1557).","White; light brown*; light blue*
 † Any tint is from natural protoporphyrin, ooporphyrin and biliverdin (brown) or bilirubin (blue) and will quickly fade, however the white from Calcium Carbonate will not.",S/T,I,A,"Used as a white in watercolor and fresco in olden days, also used as a base for lake pigments and filler / extender in oils. 
 * Any coloring other than white is fugitive; 
 Not rated by the ASTM, calcium carbonate has a long history used as a pigment and will not fade from sunlight. However it can become discolored with age from atmospheric pollution, dust, smoke and yellowing of the binder. It is also susceptible to chemical breakdown from acids."
hartshorn,W,ETC,,Hartshorn,,"Hart's Horn;
 Hartshorn;
 Antler of Hart;
 Horn of hind
 see Bone White","The horn of the male European red deer Calcined in the presence of oxygen to burn off all organic matter and produce white; Chemically about 80% tribasic phosphate with some calcium carbonate. Other deer horns or bone may also have been used. 
 see Bone White","""Earthy"" White",X,X,A,"Used for mixing with pigments that can't be mixed with lead white i.e. Orpiment, etc.;
 Calcined hartshorn is 'a useful earthy white for watercolors' according to Tingry (1830) . (Ref)"
lead-chloride-hydroxide-77593,W,ETC,,Lead Chloride Hydroxide,77593,"laurionite;
 Lead chloride hydroxide;
 Pattinson’s White",Lead chloride hydroxide,-,X,X,C,
lead-phosphite-77620,W,ETC,,Lead Phosphite,77620,lead Phosphite,lead phosphite,-,X,X,C,Anti-corrosive
lime-white,W,ETC,,Lime White,,"Armenini's White;
 Bianco di San Giovanni [NP.p];
 Cennini's White;
 Lime White;
 Portlandite; 
 Saint John's white",Mostly Calcium hydroxide with smaller amounts of Calcium Carbonate,bright white,O,I,B,"Excellent white for fresco (Ref);
 *transparency can depend on binder"
manganese-carbonate-77733,W,ETC,,Manganese Carbonate,77733,"Manganese Carbonate;
 Manganese White*?;
 Rhodochrosite","Manganous carbonate;
 Manganese Carbonate (Ref wikipedia);
 Rhodochrosite (MnCO3) is a rare red Manganese Carbonate (wikipedia mineral Reference);
 CAS 598-62-9",Pink to almost white powder,X,X,A,"*? The chemical Manganous carbonate (MnCO3), Is said to be ""Manganese White"" by the Color index 3rd Ed., V.4, Inorganic colorants, under CI 77733, However Manganous carbonate or Manganese Carbonate usually exists as pale pink to dark to bright red in both it's natural and synthetic forms.(see pictures of Rhodochrosite and Manganese Carbonate at wikipedia);
 Magnesium carbonate, (MgCO3), is quite white (see Magnesium carbonate and Magnesite),
 ""Manganese White"" is also a name for Manganese Sulphate"
oyster-shells,W,ETC,,Oyster Shells,,"Shell White;
 Gofun;
 Gofun Shirayuki [KP.p];
 Japanese Pearl White;
 Mother of Pearl [KP.p];",Powdered oyster shells; Mostly calcium carbonate in the form of an aragonite (Ref);,White may have a iridescence?,S/T,I,A,Has been used in Japan for centuries
sodium-aluminium-silicate,W,ETC,,Sodium Aluminium Silicate,,"Albite;
 Alumina White* [SCH.p];
 Aluminosilicic acid, sodium salt;
 Aluminum Silicate;
 Aluminium Sodium Salt; 
 Aluminum Sodium Silicate [SCH.p];
 Fixwool;
 Jadeite;
 SODASIL®;
 Sasil; 
 Sodium Aluminium Silicate;
 Sodium Aluminosilicate; 
 Sodium Silicoaluminate; 
 Sodium Silico Aluminate;
 Synthetic Zeolite;
 Zeolite","Sodium Aluminium Silicate;
 Manufactured by the precipitation of sodium silicate solution with aluminum sulphate.
 
 Not a specific compound but a group of related compounds consisting of sodium, aluminum, silicate and oxygen;
 Used in foods as anti caking agent;(Ref: wikipedia);
  Used in water based / acrylic emulsion paints, internal and external applications. Also it is a Defoaming agent , matting / Flattening agent, Thickening and Thixotropic agent, Free flow / anti-caking agent in powder coatings. (Ref: Madhu Silica - PDF);
 Used as a filler (extender) and as a white pigment in paints, printing inks and paper, where it acts as a partial substitute for titanium dioxide. (Ref: SODASIL® P95, IQE);
 chemically inert, non-toxic
 CAS 1344-00-9",Translucent White to greenish,S/T,I,A,"*Particularly suitable for use as a translucent filler in oil colors. Making colors “short” and “buttery”. (Ref: Schmincke Pigment Info -PDF);
 **depends on binding medium, semi transparent in oils"
